23,43
70,56
35,27
79,75
23,81
9,32
7,57
18,96
81,59
69,7
33,92
35,12
64,28
24,9
16,14
42,100
20,88
68,93
27,95
3,80
51,67
82,55
16,2
65,76
7,77
64,22
16,5
46,7
21,64
98,59
58,63
50,8
100,17
27,86
71,20
55,55
33,56
0,65
93,85
53,85
43,66
51,61
44,36
85,71
67,21
32,74
27,18
61,9
19,23
33,15
33,97
11,38
100,67
96,76
24,63
84,35
25,35
92,41
9,26
19,97
17,26
61,59
93,57
6,76
2,49
54,92
56,0
45,53
89,91
73,91
82,12
60,43
71,100
92,77
8,87
82,81
19,6
52,38
55,24
20,7
27,28
100,53
32,5
55,76
78,80
53,48
4,92
91,8
95,52
0,36
20,30
25,99
91,53
98,31
26,47
81,92
80,82
15,7
0,31
4,36
