16,25,16
15,12,63
13,92,98
91,19,35
16,25,16
21,88,32
63,45,26
30,12,27
82,94,35
69,58,11
91,53,40
94,42,19
88,78,65
48,99,90
65,79,11
86,47,63
98,28,66
85,64,37
29,19,25
61,80,64
39,36,35
68,73,36
13,54,48
19,70,11
90,72,73
58,41,86
69,35,68
71,27,25
54,13,91
97,32,18
60,41,11
97,32,18
98,18,27
42,30,91
97,32,18
35,61,82
69,58,11
52,33,97
98,83,33
57,38,82
42,85,99
78,34,44
57,38,82
21,88,32
62,18,57
90,72,73
87,76,98
98,18,27
26,64,37
88,46,22
12,14,82
91,53,40
28,91,67
85,64,37
91,10,22
90,16,65
78,87,80
86,25,71
92,51,94
26,56,87
12,65,92
44,53,85
52,33,97
65,14,78
39,31,61
65,63,48
87,63,87
76,10,39
95,41,42
98,28,66
97,32,18
97,51,48
15,87,30
97,32,18
82,94,35
14,18,61
38,60,26
39,72,92
44,88,37
28,91,67
86,17,18
54,36,73
35,61,82
19,67,48
26,10,21
44,96,67
87,43,27
92,27,80
68,73,36
69,76,35
69,26,56
41,40,80
17,32,14
12,72,50
29,35,81
98,28,66
54,13,91
66,53,10
90,86,55
84,99,89
13,92,98
16,45,66
35,61,82
91,19,35
24,43,72
98,83,33
60,23,33
40,12,84
92,95,62
38,60,26
86,98,48
88,46,22
90,72,73
69,58,11
82,94,35
55,87,72
12,72,50
12,64,85
98,28,66
95,22,30
39,52,14
86,25,71
69,26,56
44,53,85
85,64,37
49,14,29
33,96,14
97,32,18
12,64,85
69,35,68
44,53,85
78,87,80
94,14,89
61,80,64
83,64,91
14,71,69
53,26,62
54,82,67
52,57,70
87,63,87
12,14,82
54,82,67
54,36,73
80,64,21
12,64,85
27,10,62
98,18,27
66,29,80
76,77,14
69,58,11
62,38,81
16,45,66
87,63,87
98,83,33
13,71,24
98,83,33
87,43,27
90,26,75
55,56,30
64,90,66
12,64,85
38,45,61
91,53,40
44,96,67
51,45,42
19,70,11
52,33,97
78,14,85
87,63,87
26,22,72
52,33,97
44,53,85
44,88,37
82,22,36
31,36,54
66,53,10
98,16,83
42,30,91
68,73,36
82,27,21
98,98,65
69,58,11
87,93,45
98,83,33
90,59,82
91,48,97
70,94,79
55,56,30
40,74,69
52,55,22
69,58,11
87,76,98
98,83,33
12,10,57
91,19,35
57,38,82
60,41,11
82,22,36
86,25,71
42,64,32
55,87,72
26,16,70
42,30,91
44,88,37
13,54,48
68,73,36
42,64,32
80,45,40
57,55,40
87,76,98
58,41,86
48,66,99
91,19,35
85,76,63
82,94,35
90,72,73
28,91,67
45,52,31
66,70,44
66,53,10
82,20,87
97,32,18
98,28,66
85,24,38
44,53,85
40,12,84
16,45,66
13,43,45
45,71,59
85,64,37
71,27,25
78,34,44
91,48,97
82,54,76
29,35,81
42,64,32
29,19,25
49,14,29
12,27,60
92,95,62
19,78,60
39,52,14
86,25,71
54,13,91
98,16,83
12,64,85
68,73,36
60,23,33
69,58,11
15,87,30
72,76,79
29,19,25
37,10,33
15,55,68
58,36,11
95,41,42
12,10,57
61,80,64
91,83,67
58,41,86
44,98,60
95,39,53
26,56,87
52,57,70
92,95,62
97,51,48
98,28,66
93,89,45
28,60,22
98,18,27
82,22,36
69,76,35
44,88,37
35,68,74
68,73,36
91,53,40
74,83,16
71,27,25
98,83,33
91,48,97
76,10,39
82,54,76
84,86,76
69,26,56
52,33,97
52,57,70
61,34,90
12,64,85
65,16,45
55,56,30
69,96,52
82,94,35
12,72,50
94,42,19
26,56,87
38,60,26
74,83,16
13,70,11
61,80,64
19,70,11
42,85,99
86,17,18
68,73,36
90,16,65
78,14,85
98,83,33
12,64,85
60,23,33
10,56,52
52,33,97
70,26,91
26,56,87
82,22,36
69,95,53
94,16,54
40,74,69
26,10,21
32,96,23
97,32,18
82,27,21
86,12,32
15,87,30
98,28,66
39,52,14
44,53,85
12,65,92
68,73,36
97,33,77
54,21,36
28,91,67
52,57,70
98,83,33
72,66,72
32,96,23
76,77,14
69,35,68
24,43,72
97,32,18
78,14,85
12,27,60
10,31,26
90,19,91
66,83,81
61,20,11
90,19,91
69,26,56
94,14,89
76,43,60
82,22,36
38,45,61
12,10,57
82,94,35
13,92,98
69,76,35
97,33,77
90,72,73
47,27,73
35,61,82
31,36,54
91,19,35
74,91,87
41,28,97
84,99,89
10,31,26
94,14,89
90,19,91
82,27,21
45,52,31
27,90,70
63,45,26
47,27,73
61,56,41
68,73,36
57,38,64
20,28,66
12,64,85
80,44,28
13,70,11
80,45,40
58,41,86
92,95,62
82,54,76
35,68,74
82,20,87
68,73,36
69,49,74
18,12,80
52,74,75
69,58,11
80,64,21
44,41,46
12,14,82
12,72,50
65,94,51
18,12,80
52,33,97
32,96,23
57,20,33
49,14,29
19,67,48
90,54,35
87,63,87
98,16,83
91,53,40
26,10,21
39,23,97
49,36,13
93,72,30
68,73,36
70,27,17
15,73,57
87,63,87
47,27,73
83,64,91
13,54,48
48,58,10
87,43,27
92,95,62
26,56,87
43,92,59
62,38,81
10,56,52
85,36,75
86,98,48
82,54,76
98,28,66
21,88,32
69,26,56
98,12,52
89,90,99
38,60,26
97,32,18
93,65,35
76,87,49
97,32,18
44,53,85
85,64,37
83,95,84
61,34,90
93,84,36
27,90,70
91,19,35
69,95,53
89,90,99
75,11,10
69,51,56
40,12,84
69,35,68
61,34,90
90,54,35
98,16,83
93,72,30
70,27,17
98,83,33
76,43,60
47,27,73
94,69,45
13,43,45
12,64,85
94,14,89
69,26,56
82,27,21
69,26,56
53,26,62
12,64,85
26,16,70
57,38,82
44,53,85
98,15,20
57,38,64
87,76,98
74,91,87
29,35,81
68,73,36
92,95,62
90,72,73
76,87,49
58,41,86
52,74,75
98,83,33
24,43,72
29,96,51
58,41,86
94,69,45
13,43,45
39,72,92
90,72,73
93,72,30
36,44,99
91,19,35
10,56,52
69,95,53
60,23,33
91,10,22
44,98,60
19,53,64
82,94,35
61,80,64
75,57,11
98,28,66
12,12,57
78,62,95
94,16,54
32,96,23
35,61,82
76,87,49
54,21,36
52,74,75
29,43,44
54,36,73
61,20,11
91,53,40
92,95,62
90,19,91
94,14,89
62,18,57
14,71,69
11,63,30
90,54,35
44,88,37
91,53,40
26,38,91
61,80,64
29,96,51
12,10,57
69,26,56
69,58,11
49,14,29
87,93,45
69,58,11
61,20,11
71,27,25
10,56,52
75,57,11
13,70,11
40,12,84
41,40,80
59,23,83
44,88,37
44,96,67
45,52,31
86,25,71
98,12,52
45,71,59
54,21,36
69,58,11
88,80,54
13,92,98
11,63,30
45,71,59
39,75,47
74,83,16
82,54,76
91,19,35
15,28,74
12,64,85
86,25,71
70,94,79
40,74,69
40,12,84
60,41,11
95,41,83
58,36,11
18,12,80
76,10,39
69,58,11
12,64,85
98,28,66
26,85,22
19,78,60
61,41,47
82,94,35
69,26,56
82,22,36
66,70,44
65,79,11
40,83,16
16,45,66
74,91,87
69,35,68
57,69,94
44,98,60
13,70,11
54,36,73
74,91,87
40,74,69
26,56,87
90,26,75
38,60,26
12,12,57
54,80,58
27,90,70
62,11,16
