23,10
-80,-36
-84,11
-65,-96
-1,-75
99,1
100,-21
-29,20
95,53
39,11
54,70
32,-80
-5,75
19,-99
62,-92
-40,29
87,66
-58,-27
-32,-58
-64,64
31,-61
-38,58
-19,-17
31,-28
21,94
-21,33
-33,-87
20,-9
-90,6
6,90
40,14
-67,-66
30,24
39,-22
-31,3
16,20
48,-81
-49,47
-60,-91
-1,86
-45,26
-85,55
99,60
30,-1
57,-49
84,-95
60,-86
88,-17
-91,44
99,56
35,11
79,-3
95,80
-31,1
45,-85
-20,24
69,75
-69,-2
15,-48
94,-30
85,86
31,-66
-42,90
-52,-67
18,21
-13,-14
-6,23
87,34
40,-14
-100,39
81,-4
-66,35
-42,1
58,93
9,67
-75,-68
70,-57
11,42
73,51
-83,-75
55,-5
-80,31
-10,-63
93,-58
-44,-69
-23,-29
-52,-6
-99,-37
38,-72
-85,40
92,-71
99,-91
-90,0
-42,-9
68,-34
71,-90
-55,-46
-93,-44
95,-97
9,-51
-47,-36
30,-93
77,-14
-20,52
-68,-90
79,60
-17,-87
56,-90
-95,71
-34,34
-74,28
-67,25
28,21
-96,10
100,-88
7,57
-53,76
26,56
4,96
-54,-69
99,-54
-97,52
-68,21
-80,-58
-3,-81
-96,-75
-57,96
-79,-7
59,69
44,-59
-98,-6
-55,72
81,-2
-79,-89
-13,98
38,31
4,-24
-98,0
-93,-90
69,2
-77,47
2,-97
-50,52
-92,-56
20,-84
38,-4
-71,31
-70,-6
-93,5
40,66
8,5
-31,-29
-67,90
-32,8
-10,88
-43,93
58,-98
75,-89
75,34
43,-6
-95,-81
-46,-90
-70,-56
-39,10
8,-78
66,-3
-31,77
-84,-33
-8,-81
-47,48
-18,87
-100,-7
-14,81
85,-20
-19,23
-76,49
-65,-13
26,-91
-46,93
80,-97
-21,-94
64,88
77,6
-78,30
-87,43
81,-2
1,-97
99,93
-93,-84
-22,24
41,44
48,24
-64,-43
71,-82
-6,90
20,59
24,74
48,9
71,-58
-89,-48
29,-22
-52,31
93,-39
-4,-42
52,90
65,76
-52,-39
-39,12
-29,27
62,-45
-59,-9
-25,50
-12,72
20,-73
10,78
61,-61
-90,-16
-85,13
17,-64
-75,-33
61,23
26,41
-80,83
75,-96
-96,-66
-48,-75
17,87
-2,36
-85,98
-56,-98
58,36
26,-23
-68,71
-87,95
43,-53
85,83
-8,84
-91,-80
80,-37
84,-8
33,-52
47,42
-45,-83
22,-26
80,87
-53,81
-90,-98
-68,46
100,-18
42,-72
-32,-42
-64,55
-79,-15
-71,23
89,2
-52,-46
57,98
37,-2
16,72
48,32
-30,-72
-58,-84
-20,-13
-33,-69
29,21
-30,68
-86,-25
17,40
-43,-14
72,-60
-87,40
83,65
-90,-52
-27,-10
-36,-29
-59,-58
92,44
-14,-51
-11,61
-4,-8
-42,19
-70,-62
-93,38
-80,-22
8,71
91,-46
35,-37
-7,-11
-55,3
73,93
-97,90
40,56
-31,4
-76,8
-8,-69
-64,8
-58,-36
-67,85
-94,54
-72,12
12,-5
-91,50
72,-100
35,-13
-85,-75
-69,100
42,-53
-50,-97
-47,-75
-36,20
-49,46
-6,-80
63,-31
-49,-71
-19,-52
-29,72
-70,42
23,-96
-62,24
38,-81
11,-99
-89,69
-90,94
-63,16
6,62
75,14
-46,98
37,96
0,-86
-70,-12
-84,-88
59,81
-73,35
88,82
90,-47
-93,33
